,SES0100,date,time,ECB0100,SST0100,SPS0100,ETB0100,AHA0100,SHS0100,SRT0100,ARA0100,EOS0100,SIR0100
0,,2021-07-16,01:45:06.170313,,,,,,,,ON,,
1,,2021-07-16,01:45:21.554534,,,,,,,,ON,,
2,,2021-07-16,01:45:36.775037,,,,,,,,ON,,
3,,2021-07-16,01:45:51.918168,,,,,,,,ON,,
4,,2021-07-16,01:45:53.151488,,,,,,,23.551710824511925,,,
5,,2021-07-16,01:46:07.006287,,,,,,,,ON,,
6,,2021-07-16,01:46:08.169198,,,,,,,23.578365284689088,,,
7,,2021-07-16,01:46:22.127292,,,,,,,,ON,,
8,,2021-07-16,01:46:23.149676,,,,,,,23.534287566550496,,,
9,,2021-07-16,01:46:37.260522,,,,,,,,ON,,
10,,2021-07-16,01:46:38.154885,,,,,,,23.54563213852771,,,
11,,2021-07-16,01:46:52.401026,,,,,,,,ON,,
12,,2021-07-16,01:46:53.150507,,,,,,,23.528182246623736,,,
13,,2021-07-16,01:54:33.643916,,,,,,,23.29406350956368,,,
14,,2021-07-16,01:54:34.429739,,,,,,,,ON,,
15,,2021-07-16,01:54:48.637488,,,,,,,23.248332381001195,,,
16,,2021-07-16,01:54:49.455559,,,,,,,,ON,,
17,,2021-07-16,01:55:03.638809,,,,,,,23.25084831700828,,,
18,,2021-07-16,01:55:04.538853,,,,,,,,ON,,
19,,2021-07-16,01:55:18.641384,,,,,,,23.288159084840288,,,
20,,2021-07-16,01:55:19.618371,,,,,,,,OFF,,
21,,2021-07-16,01:55:33.688472,,,,,,,23.33825829523089,,,
22,,2021-07-16,01:55:34.742528,,,,,,,,OFF,,
23,,2021-07-16,01:55:48.644006,,,,,,,23.349588396161433,,,
24,,2021-07-16,01:55:49.843996,,,,,,,,OFF,,
25,,2021-07-16,01:56:03.646332,,,,,,,23.304067919037447,,,
26,,2021-07-16,01:56:04.964549,,,,,,,,OFF,,
27,,2021-07-16,01:56:18.652878,,,,,,,23.280112403216524,,,
28,,2021-07-16,01:56:20.102863,,,,,,,,OFF,,
29,,2021-07-16,01:56:33.649896,,,,,,,23.239637088065447,,,
30,,2021-07-16,01:56:35.184575,,,,,,,,OFF,,
31,,2021-07-16,01:59:08.994531,,,,,,,23.260400108613556,,,
32,,2021-07-16,01:59:09.534737,,,,,,,,ON,,
33,,2021-07-16,01:59:23.974011,,,,,,,23.33175378541437,,,
34,,2021-07-16,01:59:24.612937,,,,,,,,ON,,
35,,2021-07-16,01:59:38.973698,,,,,,,23.345282100092,,,
36,,2021-07-16,01:59:39.702145,,,,,,,,ON,,
37,,2021-07-16,01:59:53.983633,,,,,,,23.36972873520085,,,
38,,2021-07-16,01:59:54.775022,,,,,,,,OFF,,
39,,2021-07-16,02:00:08.972760,,,,,,,23.386987052698327,,,
40,,2021-07-16,02:00:09.924367,,,,,,,,OFF,,
41,,2021-07-16,02:00:23.977480,,,,,,,23.43118280277173,,,
42,,2021-07-16,02:00:25.041743,,,,,,,,OFF,,
43,,2021-07-16,02:00:38.976259,,,,,,,23.44998853919407,,,
44,,2021-07-16,02:00:40.166553,,,,,,,,OFF,,
45,,2021-07-16,02:00:53.982087,,,,,,,23.43775534260098,,,
46,,2021-07-16,02:00:55.250097,,,,,,,,OFF,,
47,,2021-07-16,02:01:08.973068,,,,,,,23.4955213680075,,,
48,,2021-07-16,02:01:10.334462,,,,,,,,OFF,,
49,,2021-07-16,02:01:24.006383,,,,,,,23.511534564340845,,,
50,,2021-07-16,02:01:25.412195,,,,,,,,OFF,,
51,,2021-07-16,02:01:39.004180,,,,,,,23.464071662633945,,,
52,,2021-07-16,02:01:40.486281,,,,,,,,OFF,,
53,,2021-07-16,02:01:54.031939,,,,,,,23.528447248145586,,,
54,,2021-07-16,02:01:55.559946,,,,,,,,OFF,,
55,,2021-07-16,02:02:08.985594,,,,,,,23.558002175385,,,
56,,2021-07-16,02:02:10.667115,,,,,,,,OFF,,
57,,2021-07-16,02:02:23.988222,,,,,,,23.56656442588913,,,
58,,2021-07-16,02:02:25.750879,,,,,,,,OFF,,
59,,2021-07-16,02:02:38.999762,,,,,,,23.566995377578955,,,
60,,2021-07-16,02:02:40.830282,,,,,,,,OFF,,
61,,2021-07-16,02:10:58.239271,,,,,,,,ON,,
62,,2021-07-16,02:10:59.789163,,,,,,,23.393507891648607,,,
63,,2021-07-16,02:11:13.341515,,,,,,,,ON,,
64,,2021-07-16,02:11:14.790469,,,,,,,23.38404007951664,,,
65,,2021-07-16,02:11:28.476881,,,,,,,,ON,,
66,,2021-07-16,02:11:29.793837,,,,,,,23.35414447515686,,,
67,,2021-07-16,02:11:43.569338,,,,,,,,ON,,
68,,2021-07-16,02:11:44.818217,,,,,,,23.30307481372804,,,
69,,2021-07-16,02:11:58.663824,,,,,,,,OFF,,
70,,2021-07-16,02:11:59.808186,,,,,,,23.303164243691374,,,
71,,2021-07-16,02:12:13.748704,,,,,,,,OFF,,
72,,2021-07-16,02:12:14.809896,,,,,,,23.31106506655409,,,
73,,2021-07-16,02:12:28.830526,,,,,,,,OFF,,
74,,2021-07-16,02:12:29.808346,,,,,,,23.33878125516816,,,
75,,2021-07-16,02:12:43.913116,,,,,,,,OFF,,
76,,2021-07-16,02:12:44.808835,,,,,,,23.413004024004106,,,
77,,2021-07-16,02:12:59.055312,,,,,,,,OFF,,
78,,2021-07-16,02:12:59.812946,,,,,,,23.46484278311462,,,
79,,2021-07-16,02:16:07.641565,,,,,,56.70641897444757,,,,
80,,2021-07-16,02:16:14.677053,,,,,ON,,,,,
81,,2021-07-16,02:16:22.635054,,,,,,56.748984875894116,,,,
82,,2021-07-16,02:16:29.760574,,,,,ON,,,,,
83,,2021-07-16,02:16:37.635234,,,,,,56.6848171148221,,,,
84,,2021-07-16,02:16:44.869560,,,,,ON,,,,,
85,,2021-07-16,02:16:52.635545,,,,,,56.61022088817988,,,,
86,,2021-07-16,02:16:59.966407,,,,,ON,,,,,
87,,2021-07-16,02:17:07.653573,,,,,,56.6742584170524,,,,
88,,2021-07-16,02:17:15.054297,,,,,OFF,,,,,
89,,2021-07-16,02:21:17.176399,,,,,ON,,,,,
90,,2021-07-16,02:21:18.402586,,,,,,50.35630616825733,,,,
91,,2021-07-16,02:21:32.291649,,,,,ON,,,,,
92,,2021-07-16,02:21:33.402054,,,,,,50.302036839447965,,,,
93,,2021-07-16,02:21:47.377990,,,,,ON,,,,,
94,,2021-07-16,02:21:48.407635,,,,,,50.35082005076085,,,,
95,,2021-07-16,02:22:02.498761,,,,,ON,,,,,
96,,2021-07-16,02:22:03.408056,,,,,,50.4220518602536,,,,
97,,2021-07-16,02:27:43.170070,,,,,ON,,,,,
98,,2021-07-16,02:27:43.269541,,,,"{'maxValueVolt': 5.1358086200747834, 'minValueVolt': -0.17818744657196658, 'maxValueCurr': 19.94868732607256, 'minValueCurr': 4.000096414473165}",,,,,,
99,,2021-07-16,02:27:44.629047,,,,,,,,,Pass,
100,0.0,2021-07-16,02:27:48.544608,,,,,,,,,,
101,,2021-07-16,02:27:48.645231,RUN,,,,,,,,,
102,,2021-07-16,02:27:48.746763,,217.0953088563118,,,,,,,,
103,,2021-07-16,02:27:48.895123,,,1.275099266063481,,,,,,,
104,,2021-07-16,02:27:48.995311,,,,"{'maxValueVolt': 4.849776571451234, 'minValueVolt': -0.04539879693303004, 'maxValueCurr': 19.981683050227225, 'minValueCurr': 4.065447130306581}",,,,,,
105,0.0,2021-07-16,02:27:53.546083,,,,,,,,,,
106,,2021-07-16,02:27:53.647967,RUN,,,,,,,,,
107,,2021-07-16,02:27:53.747630,,217.03344866912983,,,,,,,,
108,,2021-07-16,02:27:53.850554,,,2.279376256796719,,,,,,,
109,0.0,2021-07-16,02:27:58.659129,,,,,,,,,,
110,,2021-07-16,02:27:58.738871,,,,PFPF,,,,,,
111,,2021-07-16,02:27:58.877867,RUN,,,,,,,,,
112,,2021-07-16,02:27:59.006514,,217.21027933011231,,,,,,,,
113,,2021-07-16,02:27:59.128081,,,3.2043205162490365,,,,,,,
114,,2021-07-16,02:27:59.735630,,,,,,,,,Pass,
115,0.0,2021-07-16,02:28:03.545509,,,,,,,,,,
116,,2021-07-16,02:28:03.647819,RUN,,,,,,,,,
117,,2021-07-16,02:28:03.749816,,217.38745893407767,,,,,,,,
118,,2021-07-16,02:28:03.872072,,,4.21917284500723,,,,,,,
119,,2021-07-16,02:28:04.022666,,,,"{'maxValueVolt': 5.085503399493122, 'minValueVolt': 0.06796486483131332, 'maxValueCurr': 20.068579369995216, 'minValueCurr': 4.042688363471604}",,,,,,
120,0.0,2021-07-16,02:28:08.544072,,,,,,,,,,
121,,2021-07-16,02:28:08.645472,RUN,,,,,,,,,
122,,2021-07-16,02:28:08.748894,,217.4254209010393,,,,,,,,
